DoctorID,Name,City,Specialty,Fee,Contact,Email,LocationScore,PriceScore
DOC-001,Dr. Ahmad Raza,Sargodha,Veterinary,800,03001234567,drahmad.raza@gmail.com,0.75,0.88
DOC-002,Dr. Bilal Hassan,Lahore,Veterinary,1200,03011234568,drbilal.hassan@gmail.com,1.0,0.72
DOC-003,Dr. Usman Khan,Faisalabad,Veterinary,1000,03021234569,drusman.khan@gmail.com,0.85,0.8
DOC-004,Dr. Tariq Mahmood,Multan,Veterinary,900,03031234560,drtariq.mahmood@gmail.com,0.85,0.84
DOC-005,Dr. Sohail Ahmed,Gujranwala,Veterinary,750,03041234561,drsohail.ahmed@gmail.com,0.75,0.9
DOC-006,Dr. Imran Ali,Rawalpindi,Veterinary,1100,03051234562,drimran.ali@gmail.com,0.85,0.76
DOC-007,Dr. Khalid Hussain,Peshawar,Veterinary,850,03061234563,drkhalid.hussain@gmail.com,0.65,0.86
DOC-008,Dr. Nasir Iqbal,Quetta,Veterinary,700,03071234564,drnasir.iqbal@gmail.com,0.65,0.92
DOC-009,Dr. Zubair Malik,Sialkot,Veterinary,950,03081234565,drzubair.malik@gmail.com,0.75,0.82
DOC-010,Dr. Asim Nawaz,Bahawalpur,Veterinary,650,03091234566,drasim.nawaz@gmail.com,0.65,0.94
DOC-011,Dr. Farhan Siddiqui,Sargodha,Veterinary,1000,03101234567,drfarhan.siddiqui@gmail.com,0.75,0.8
DOC-012,Dr. Waseem Aslam,Lahore,Veterinary,1500,03111234568,drwaseem.aslam@gmail.com,1.0,0.6
DOC-013,Dr. Rizwan Butt,Faisalabad,Veterinary,1100,03121234569,drrizwan.butt@gmail.com,0.85,0.76
DOC-014,Dr. Shahid Anjum,Multan,Veterinary,800,03131234560,drshahid.anjum@gmail.com,0.85,0.88
DOC-015,Dr. Naveed Rafique,Gujranwala,Veterinary,700,03141234561,drnaveed.rafique@gmail.com,0.75,0.92
DOC-016,Dr. Kamran Shaukat,Rawalpindi,Veterinary,1300,03151234562,drkamran.shaukat@gmail.com,0.85,0.68
DOC-017,Dr. Fawad Chaudhry,Lahore,Veterinary,1800,03161234563,drfawad.chaudhry@gmail.com,1.0,0.48
DOC-018,Dr. Adeel Akram,Karachi,Veterinary,2000,03171234564,dradeel.akram@gmail.com,1.0,0.4
DOC-019,Dr. Hamid Qureshi,Islamabad,Veterinary,2500,03181234565,drhamid.qureshi@gmail.com,1.0,0.2
DOC-020,Dr. Junaid Mirza,Hyderabad,Veterinary,900,03191234566,drjunaid.mirza@gmail.com,0.65,0.84
DOC-021,Dr. Aamir Bashir,Sargodha,Veterinary,600,03201234567,draamir.bashir@gmail.com,0.75,0.96
DOC-022,Dr. Sajid Mehmood,Lahore,Veterinary,1600,03211234568,drsajid.mehmood@gmail.com,1.0,0.56
